RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023
394667,658,"Harrison, AR",msa,AR,,,,,,,,,,,,,,,,,,,,,,,,131250,127417,129133,142267,142267,146633,138833,139833,135483,140817,148150,162608,158408,156075,148267,158133,169800,173467,180267,181933,193300,196333,195333,190833,183167,185000,187833,190667,195333,198667,209667,214500,205833,206633,204633,217800,217833,208750,207583,215083,219167,229167,223333
395037,659,"Rolla, MO",msa,MO,,,,,,,,,,,,112567,115133,129383,136883,131833,133233,138067,141900,150833,144438,145938,137604,143167,134833,132800,138550,155283,158817,158467,161050,171183,171617,168633,160250,160750,144567,144950,151117,167300,170300,169300,172300,188150,183983,184633,175067,185533,177383,167800,159167,167783,180117,185950,190333,184667,190733,193525,195192,178292,172917,173800,181950,184533,201983,210683
394482,660,"Coldwater, MI",msa,MI,114333,101500,89733,89033,112283,113700,110400,100983,116000,119167,123650,112983,112817,110667,113000,108333,115083,119200,122867,122367,126583,122733,124483,110650,112500,98233,111733,110733,121667,113667,117967,129933,139933,142617,140983,138317,134139,125472,124806,134667,144483,144483,138817,137333,139017,141683,147817,148633,152633,151833,153500,158333,158333,162667,163500,161500,163000,162983,160317,161317,154217,149217,147717,154083,167917,166240
753904,661,"Marion, NC",msa,NC,,,,,,,,,,,,,,140233,134233,143500,161983,171317,168233,165083,173083,180467,192133,175967,145500,128500,122667,135667,146667,162333,180167,198333,225417,236750,240583,233500,212667,213333,192667,199333,190833,201500,201500,195000,206667,226667,225000,206667,224167,226333,254500,244000,251167,238833,236833,237167,224667,206333,208333,219000,224833,238667,221333,232167,228500,238500
394567,663,"Ellensburg, WA",msa,WA,279967,267800,289583,312583,328917,318000,312492,302825,308658,311167,314167,307667,306500,307000,315833,317000,337333,327333,339667,341833,351833,361167,340667,336900,321933,313600,324000,328300,349283,381967,387633,409650,386250,424742,416742,426825,387483,415817,424817,455667,464000,476667,469667,439667,439667,440000,452333,448167,434833,424167,443296,462963,491296,483667,504000,491167,486333,466000,477167,493333,469667,473000,481500,517167,530492,503325
394779,665,"Lawrenceburg, TN",msa,TN,90800,102967,113650,118500,105000,101500,108167,120333,123333,119900,115567,109733,105967,106800,107430,109963,109697,118233,122900,116000,107000,105000,114000,126333,133333,139002,137835,139502,142167,147385,145885,145052,148833,146417,143917,141050,142800,152950,147983,154633,161817,176483,180770,168437,173770,185833,199133,212300,201967,197167,181667,183500,193500,197483,199217,209940,214956,209223,189483,181783,178450,184583,188117,187867,186917,195567
394842,666,"McAlester, OK",msa,OK,110000,99167,87500,77667,102000,118500,127167,118833,119000,119667,123167,118167,101417,113750,113717,143117,126617,127650,120833,130500,127833,128333,125000,129167,119333,118500,116000,132417,128250,146167,138250,155083,144000,153000,153000,155583,144417,123583,132500,145333,169333,174333,182000,179833,174167,170467,167133,163967,156667,161833,168667,171000,180000,182833,189483,172167,170150,165833,180817,171833,160333,149000,162500,177000,181667,182000
395228,668,"Willmar, MN",msa,MN,145967,134333,146250,146250,158383,157117,157117,174983,175500,177167,167000,164000,160650,150150,156750,160767,164767,160667,165000,165817,166650,169650,171667,164317,150650,145150,157000,167667,184067,191143,194477,188577,195167,193833,203333,191667,182667,187629,180879,178879,166583,168353,180687,193603,209083,213083,202800,191633,180933,200801,207801,213668,197000,207500,216667,214833,198967,185633,188300,187500,189833,206500,212817,223317,209983,221833
394349,672,"Auburn, IN",msa,IN,118817,115300,116633,122467,137500,138167,140667,127483,130817,132783,138600,131267,125133,118750,126750,131833,137917,137083,138133,143433,160267,165633,160400,144367,139200,140467,140000,135500,134167,140650,147400,157717,168900,175483,169667,161167,166167,165000,156500,135500,142467,154300,168783,184233,188233,186917,177317,175817,185517,182825,179142,171275,178484,182667,181817,181483,178483,191550,191967,202000,192283,184450,177583,203417,218000,220833
394448,675,"Cedartown, GA",msa,GA,91833,90167,96500,102300,105320,97653,104687,111567,118467,120067,116800,117383,118283,115467,120650,104483,109500,103500,114033,114200,120350,125150,119817,116500,125667,139667,146833,133133,127800,116133,125233,132900,142067,144167,135950,141117,137783,154300,170300,179967,168500,160817,167800,178450,177133,181300,185450,189117,182467,182500,180667,179167,193333,205500,212833,195333,190000,191667,200667,197300,194800,192467,199167,199167,209983,209983
